year;month;bloomberg_confidence
2020;9;71.27
2020;10;66.1
2020;11;61.52
2020;12;67.44
2021;1;72.55
2021;2;69.03
2021;3;65.1
2021;4;57.35
2021;5;55.2
2021;6;62.99
2021;7;65.07
2021;8;60.06
2021;9;61.49
2021;10;48.84
2021;11;47.32
2021;12;50.65
2022;1;53.24
2022;2;45.32
2022;3;46.29
2022;4;54.57
2022;5;49.06
2022;6;47.82
2022;7;55.23
2022;8;58.72
2022;9;64.64
2022;10;70.31
2022;11;62.74
2022;12;72.39
2023;1;74.42
2023;2;70.27
2023;3;77.81
2023;4;78.9
2023;5;75.13
2023;6;75.9
2023;7;58.84
2023;8;65.32
2023;9;64.98
2023;10;72.08