Year;Month;Econ_Conf;Cons_Conf;RealSec_Conf;Serv_Conf;Retail_Conf;Constr_Conf
2021;1;96,7034;83,2669;109,0000;101,8711;108,5360;84,1690
2021;2;96,0306;84,5152;108,7000;100,3978;108,9394;83,0765
2021;3;99,4866;86,6538;110,2000;105,5024;109,2033;79,7576
2021;4;94,2098;80,1716;107,4000;103,3467;103,0694;77,2976
2021;5;92,9693;77,2622;107,1000;102,2168;100,8794;79,6084
2021;6;98,7069;81,7228;109,8000;108,5072;105,6791;82,4481
2021;7;101,7160;79,4772;112,1000;114,7693;109,6397;86,3144
2021;8;102,5933;78,2191;112,2000;116,1222;110,3010;92,4319
2021;9;104,3462;79,6503;113,3000;117,8236;115,5710;91,7638
2021;10;103,3183;76,7812;111,3000;120,2766;121,1440;92,7031
2021;11;101,4827;71,1483;112,0000;119,4103;121,9286;93,6347
2021;12;99,6648;68,9133;110,1000;118,8048;121,4560;90,0236
2022;1;102,2663;73,2100;111,9000;120,1800;124,4400;85,5100
2022;2;99,4530;71,1500;109,9000;118,6900;119,7500;82,6700
2022;3;96,5453;72,5300;108,2000;111,3400;116,0200;81,0000
2022;4;95,8011;67,2700;107,7000;114,6400;119,3900;83,4500
2022;5;98,0362;67,5700;107,0000;121,6600;121,4200;81,6400
2022;6;94,7847;63,3600;104,6000;119,6300;118,6600;83,0400
2022;7;94,3165;68,0300;102,5000;117,8000;113,3500;84,9900
2022;8;94,9434;72,1600;101,4000;116,2400;112,8800;86,2600
2022;9;94,9733;72,3500;100,2000;118,1800;115,9000;88,0900
2022;10;97,8710;76,1500;102,0000;119,2600;119,3900;90,5300
2022;11;97,5858;76,6300;101,3000;118,0600;121,9300;91,5900
2022;12;98,4058;75,6400;101,6000;120,1100;127,4700;92,6400
2023;1;99,6672;79,1000;103,4000;118,1200;126,1600;93,1600
2023;2;99,2877;82,5000;102,4000;115,5300;123,1000;89,8000
2023;3;99,1015;80,1300;104,1000;116,7800;117,7300;88,5100
2023;4;102,5888;87,5200;105,1000;118,0500;116,1600;88,3800
2023;5;104,0726;91,0600;105,1000;117,3500;116,6500;92,1600
2023;6;101,4559;85,1300;105,7000;118,0500;117,7400;88,9100
2023;7;99,5991;80,0700;104,9000;117,3200;114,6900;88,0800
2023;8;94,3560;68,0100;104,6000;115,3300;114,2800;87,4300
2023;9;95,6085;71,4700;105,1000;112,9900;117,7400;88,3100
2023;10;96,7556;74,6200;105,3000;113,5700;113,9100;89,0700
2023;11;95,4260;75,4700;103,9000;110,9100;111,7300;91,0100
2023;12;96,5008;77,4200;103,4000;112,2500;116,7800;88,0200